	-6.7290546	61.4046838
	-6.7290651	61.4047543
	-6.7291124	61.4047946
	-6.7291808	61.4048248
	-6.7291966	61.4048525
	-6.7291387	61.4048903
	-6.7290493	61.4049457
	-6.7289862	61.4050263
	-6.7289704	61.4050993
	-6.7289862	61.4051824
	-6.729044	61.4052403
	-6.7291124	61.4052756
	-6.7291756	61.4053008
	-6.7291808	61.405336
	-6.729244	61.4053713
	-6.7293913	61.4053914
	-6.7295123	61.4053914
	-6.7295912	61.4053789
	-6.7296438	61.405331
	-6.7296859	61.4052529
	-6.7297491	61.4051774
	-6.7298701	61.4050968
	-6.7299438	61.4050087
	-6.7299543	61.4049281
	-6.729928	61.4048676
	-6.7299332	61.4047997
	-6.7299595	61.4047317
	-6.7300016	61.4046763
	-6.7299806	61.4046209
	-6.7298859	61.4045906
	-6.7297964	61.4045881
	-6.7297491	61.4045705
	-6.7297228	61.4045277
	-6.7296438	61.4044899
	-6.7294386	61.4044698
	-6.729244	61.4045101
	-6.7291177	61.4045629
	-6.7290651	61.4046133
	-6.7290546	61.4046838
